time,symbol,is_fiz,persons_long,persons_short,open_position_long,open_position_short,oichange_long,oichange_short
2026-07-01T00:00:00Z,MIX,0,84,68,57206,99179,-3218,-3535
2026-07-01T00:00:00Z,MIX,1,4322,2892,89973,48000,-864,-547
2026-07-02T00:00:00Z,MIX,0,82,68,75030,136443,17824,37264
2026-07-02T00:00:00Z,MIX,1,4740,2893,107522,46109,17549,-1891
2026-07-03T00:00:00Z,MIX,0,95,60,78945,138635,3915,2192
2026-07-03T00:00:00Z,MIX,1,4866,2690,109376,49686,1854,3577
2026-07-06T00:00:00Z,MIX,0,83,69,73387,137147,-5558,-1488
2026-07-06T00:00:00Z,MIX,1,5048,3153,113421,49661,4045,-25
2026-07-07T00:00:00Z,MIX,0,91,57,70354,137788,-3033,641
2026-07-07T00:00:00Z,MIX,1,5140,2811,112046,44612,-1375,-5049
2026-07-08T00:00:00Z,MIX,0,90,59,65705,136605,-4649,-1183
2026-07-08T00:00:00Z,MIX,1,5093,2606,114256,43356,2210,-1256
2026-07-09T00:00:00Z,MIX,0,82,68,67594,130305,1889,-6300
2026-07-09T00:00:00Z,MIX,1,4848,2888,110426,47715,-3830,4359
2026-07-10T00:00:00Z,MIX,0,75,63,68535,130155,941,-150
2026-07-10T00:00:00Z,MIX,1,4808,2849,108757,47137,-1669,-578
2026-07-13T00:00:00Z,MIX,0,74,61,70534,126999,1999,-3156
2026-07-13T00:00:00Z,MIX,1,4792,3000,106549,50084,-2208,2947
2026-07-14T00:00:00Z,MIX,0,69,67,73403,124412,2869,-2587
2026-07-14T00:00:00Z,MIX,1,4809,3340,106754,55745,205,5661
2026-07-15T00:00:00Z,MIX,0,73,66,74497,129502,1094,5090
2026-07-15T00:00:00Z,MIX,1,5097,3288,114981,59976,8227,4231
2026-07-16T00:00:00Z,MIX,0,75,64,82660,146535,8163,17033
2026-07-16T00:00:00Z,MIX,1,5183,2337,118182,54307,3201,-5669
2026-07-17T00:00:00Z,MIX,0,71,68,93092,141898,10432,-4637
2026-07-17T00:00:00Z,MIX,1,4985,2464,110230,61424,-7952,7117
2026-07-20T00:00:00Z,MIX,0,97,68,88170,115794,-4922,-26104
2026-07-20T00:00:00Z,MIX,1,5100,2819,108285,80661,-1945,19237
2026-07-21T00:00:00Z,MIX,0,98,59,92717,111807,4547,-3987
2026-07-21T00:00:00Z,MIX,1,4796,2695,96440,77350,-11845,-3311
2026-07-22T00:00:00Z,MIX,0,95,66,92230,107891,-487,-3916
2026-07-22T00:00:00Z,MIX,1,4820,3080,96558,80897,118,3547
